City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaohsiung,TW,2021-06-14 02:03:50,22.6163,120.3133,89.55,65,75,8.01
68,Sola,VU,2021-06-14 02:03:50,-13.8833,167.55,80.35,76,50,17.02
69,Vallenar,CL,2021-06-14 02:03:51,-28.5708,-70.7581,55.26,75,0,2.28
70,San Ignacio,BZ,2021-06-14 02:03:51,17.1561,-89.0714,82.54,83,75,4.61
71,Hobart,AU,2021-06-14 02:03:51,-42.8794,147.3294,58.01,90,75,5.75
72,Salalah,OM,2021-06-14 02:03:52,17.0151,54.0924,82.49,89,75,4.61
73,Port Hedland,AU,2021-06-14 02:03:52,-20.3167,118.5667,77.05,27,3,18.41
74,Pochutla,MX,2021-06-14 02:03:53,15.7432,-96.4661,81.45,90,99,2.91
75,Tashtagol,RU,2021-06-14 02:03:53,52.7657,87.8894,47.77,99,100,3.29
76,Ostrovnoy,RU,2021-06-14 02:03:53,68.0531,39.5131,49.17,93,100,8.43
77,Kaniama,CD,2021-06-14 02:03:54,-7.5667,24.1833,62.31,50,97,5.01
78,Puerto Ayora,EC,2021-06-14 02:03:54,-0.7393,-90.3518,72.93,74,91,9.44
79,La Mira,MX,2021-06-14 02:03:55,18.035,-102.3266,79.12,81,96,2.48
80,Ribeira Grande,PT,2021-06-14 02:03:55,38.5167,-28.7,68.61,82,14,2.62
81,Vuktyl,RU,2021-06-14 02:03:56,63.8567,57.3094,62.94,81,99,10.78
82,Ewo,CG,2021-06-14 02:03:56,-0.8725,14.8206,73.83,84,95,3.29
83,Beri,IN,2021-06-14 02:03:56,25.9031,79.8902,85.17,70,100,5.64
84,Namibe,AO,2021-06-14 02:03:57,-15.1961,12.1522,70.72,64,5,3.2
85,Bodden Town,KY,2021-06-14 02:03:15,19.2833,-81.25,82.99,52,100,1.99
86,Butaritari,KI,2021-06-14 02:03:57,3.0707,172.7902,82.85,74,22,8.32
87,Cabo San Lucas,MX,2021-06-14 01:59:55,22.8909,-109.9124,84.51,80,54,8.55
88,Vulcanesti,MD,2021-06-14 02:03:58,45.6842,28.4028,52.92,86,2,14.76
89,Veraval,IN,2021-06-14 02:03:58,20.9,70.3667,84.74,76,0,14.7
90,Kalmunai,LK,2021-06-14 02:03:59,7.4167,81.8167,82.65,63,100,5.73
91,Rawson,AR,2021-06-14 02:03:59,-43.3002,-65.1023,48.15,49,81,15.99
92,Khatanga,RU,2021-06-14 02:04:00,71.9667,102.5,37.4,96,100,16.62
93,Touros,BR,2021-06-14 02:04:00,-5.1989,-35.4608,76.12,84,19,8.9
94,Castro,BR,2021-06-14 02:01:05,-24.7911,-50.0119,46.35,94,0,4.63
95,Viedma,AR,2021-06-14 02:04:01,-40.8135,-62.9967,48.0,79,100,7.72
96,Camaguey,CU,2021-06-14 02:00:12,21.3808,-77.9169,76.39,87,100,1.41
97,Bad Laasphe,DE,2021-06-14 02:04:01,50.9333,8.4,52.5,93,0,1.7
98,Pisco,PE,2021-06-14 02:04:02,-13.7,-76.2167,64.02,78,1,2.82
99,Zhezkazgan,KZ,2021-06-14 02:04:02,47.8043,67.7144,63.7,62,6,16.49
100,Saint-Philippe,RE,2021-06-14 02:04:02,-21.3585,55.7679,71.15,79,76,17.18
101,Saskylakh,RU,2021-06-14 02:04:03,71.9167,114.0833,47.17,41,47,11.61
102,Port Lincoln,AU,2021-06-14 02:04:03,-34.7333,135.8667,61.59,51,26,9.95
103,Chokurdakh,RU,2021-06-14 02:04:04,70.6333,147.9167,64.67,38,100,5.66
104,Chuy,UY,2021-06-14 01:59:17,-33.6971,-53.4616,55.33,90,0,5.84
105,Buala,SB,2021-06-14 02:04:04,-8.145,159.5921,82.47,78,89,9.48
106,Bonthe,SL,2021-06-14 02:04:05,7.5264,-12.505,78.64,84,92,5.08
107,Kangaatsiaq,GL,2021-06-14 02:04:05,68.3065,-53.4641,34.93,87,100,5.19
108,Monrovia,LR,2021-06-14 02:04:05,6.3005,-10.7969,76.77,88,100,6.98
109,Kishi,NG,2021-06-14 02:04:06,9.0833,3.85,74.7,84,33,7.18
110,Vizinga,RU,2021-06-14 02:04:06,61.0749,50.1031,61.65,92,31,5.06
111,Santa Cruz,BO,2021-06-14 02:04:07,-17.8,-63.1667,59.9,66,0,5.35
112,Pacific Grove,US,2021-06-14 02:04:07,36.6177,-121.9166,78.15,79,1,4.0
113,Ratnagiri,IN,2021-06-14 02:04:07,16.9833,73.3,79.05,90,100,13.4
114,Abu Dhabi,AE,2021-06-14 02:04:04,24.4667,54.3667,89.62,70,0,3.44
115,Namatanai,PG,2021-06-14 02:04:08,-3.6667,152.4333,85.28,63,9,4.94
116,Bambous Virieux,MU,2021-06-14 02:04:08,-20.3428,57.7575,73.22,66,97,15.32
117,Hay River,CA,2021-06-14 02:00:14,60.8156,-115.7999,66.74,39,67,6.04
118,Funadhoo,MV,2021-06-14 02:04:09,6.15,73.2667,83.37,69,100,17.0
119,Bengkulu,ID,2021-06-14 02:04:09,-3.8004,102.2655,81.32,71,96,3.83
120,Iqaluit,CA,2021-06-14 02:04:10,63.7506,-68.5145,32.7,86,50,3.0
121,Acari,PE,2021-06-14 02:04:10,-15.4311,-74.6158,66.99,69,4,1.57
122,Coquimbo,CL,2021-06-14 02:04:11,-29.9533,-71.3436,53.33,82,90,2.3
123,Kodiak,US,2021-06-14 02:04:11,57.79,-152.4072,51.31,76,1,8.05
124,Danilovka,RU,2021-06-14 02:04:12,50.3557,44.1168,61.93,87,100,5.3
125,Caldas Novas,BR,2021-06-14 02:04:12,-17.7417,-48.625,67.37,56,11,3.51
126,Baramati,IN,2021-06-14 02:04:13,18.15,74.5833,78.21,72,93,9.08
127,Quelimane,MZ,2021-06-14 02:04:13,-17.8786,36.8883,62.55,100,90,3.44
128,Pangkalanbuun,ID,2021-06-14 02:03:01,-2.6833,111.6167,85.06,65,21,4.34
129,Katsuura,JP,2021-06-14 02:04:14,35.1333,140.3,75.18,83,100,10.69
130,Voznesenye,RU,2021-06-14 02:04:14,61.0106,35.4781,55.36,99,100,6.87
131,Bethel,US,2021-06-14 02:01:10,41.3712,-73.414,67.77,77,76,4.23
132,Bambanglipuro,ID,2021-06-14 02:04:15,-7.95,110.2833,67.6,74,100,8.3
133,Sangar,RU,2021-06-14 02:04:15,63.9242,127.4739,67.51,33,8,2.95
134,Ayan,RU,2021-06-14 02:04:15,56.45,138.1667,49.35,66,100,15.37
135,Lagoa,PT,2021-06-14 02:04:16,39.05,-27.9833,66.96,83,6,2.33
136,Vaitape,PF,2021-06-14 02:04:16,-16.5167,-151.75,79.39,80,100,11.77
137,East London,ZA,2021-06-14 02:04:17,-33.0153,27.9116,62.64,74,57,12.33
138,Palimbang,PH,2021-06-14 02:04:17,6.2106,124.1894,85.93,66,86,3.09
139,Guerrero Negro,MX,2021-06-14 02:04:17,27.9769,-114.0611,64.36,84,24,16.22
140,Maumere,ID,2021-06-14 02:04:18,-8.6199,122.2111,82.71,71,89,3.4
141,Egvekinot,RU,2021-06-14 02:04:18,66.3167,-179.1667,43.11,60,100,8.7
