City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vaini,TO,2021-06-14 03:00:29,-21.2,-175.2,75.58,72,14,17.02
68,Cherskiy,RU,2021-06-14 03:00:31,68.75,161.3,64.35,29,68,8.25
69,Fortuna,US,2021-06-14 03:00:31,40.5982,-124.1573,68.47,68,90,0.0
70,Garcia,MX,2021-06-14 03:00:32,25.8167,-100.5833,84.7,58,23,11.59
71,San Policarpo,PH,2021-06-14 03:00:32,12.1791,125.5072,83.59,69,10,6.6
72,Hithadhoo,MV,2021-06-14 03:00:33,-0.6,73.0833,82.72,73,88,9.66
73,Bilibino,RU,2021-06-14 03:00:33,68.0546,166.4372,63.91,28,84,3.44
74,Porto Walter,BR,2021-06-14 03:00:33,-8.2686,-72.7439,71.26,85,61,1.86
75,Colares,PT,2021-06-14 03:00:34,38.7992,-9.4469,67.19,76,52,4.0
76,Lompoc,US,2021-06-14 03:00:34,34.6391,-120.4579,73.38,84,40,25.01
77,Chuy,UY,2021-06-14 03:00:35,-33.6971,-53.4616,54.91,90,0,5.77
78,Mehamn,NO,2021-06-14 03:00:35,71.0357,27.8492,43.86,79,26,26.17
79,Te Anau,NZ,2021-06-14 03:00:36,-45.4167,167.7167,54.19,91,100,0.87
80,Sungurlu,TR,2021-06-14 03:00:36,40.1675,34.3739,60.15,69,86,1.7
81,Tasiilaq,GL,2021-06-14 03:00:37,65.6145,-37.6368,37.56,87,99,2.8
82,Kruisfontein,ZA,2021-06-14 03:00:37,-34.0033,24.7314,57.76,79,92,8.43
83,Ostersund,SE,2021-06-14 03:00:37,63.1792,14.6357,48.65,81,40,2.3
84,Skegness,GB,2021-06-14 03:00:38,53.1436,0.3363,64.69,94,9,11.92
85,Wanaka,NZ,2021-06-14 03:00:38,-44.7,169.15,55.13,85,98,3.44
86,The Valley,AI,2021-06-14 03:00:39,18.217,-63.0578,81.1,79,100,20.98
87,San Andres,CO,2021-06-14 02:56:46,12.5847,-81.7006,82.42,83,75,11.5
88,Nogales,MX,2021-06-14 03:00:39,31.3086,-110.9422,94.08,10,0,6.31
89,Constitucion,CL,2021-06-14 03:00:40,-35.3333,-72.4167,53.94,82,100,7.27
90,Castro,BR,2021-06-14 03:00:41,-24.7911,-50.0119,45.66,96,0,4.54
91,General Roca,AR,2021-06-14 03:00:41,-39.0333,-67.5833,50.68,38,87,13.89
92,Paramonga,PE,2021-06-14 03:00:42,-10.6667,-77.8333,65.5,84,8,7.14
93,Narayangarh,IN,2021-06-14 03:00:42,30.4833,77.1333,89.22,48,20,2.33
94,Hermanus,ZA,2021-06-14 03:00:42,-34.4187,19.2345,52.9,84,1,5.88
95,Lakes Entrance,AU,2021-06-14 03:00:43,-37.8811,147.981,59.18,68,99,4.09
96,San Jeronimo,PE,2021-06-14 03:00:43,-11.9472,-75.2829,45.95,85,13,1.86
97,Meulaboh,ID,2021-06-14 03:00:44,4.1363,96.1285,82.89,73,98,2.95
98,Hamilton,US,2021-06-14 03:00:44,39.1834,-84.5333,73.49,78,0,4.27
99,Chokurdakh,RU,2021-06-14 03:00:45,70.6333,147.9167,65.86,34,100,4.85
100,Saskylakh,RU,2021-06-14 03:00:38,71.9167,114.0833,48.42,40,65,12.17
101,Aykhal,RU,2021-06-14 03:00:45,66.0,111.5,40.33,95,100,16.6
102,Lagos,NG,2021-06-14 02:58:10,6.5833,3.75,80.92,86,30,3.27
103,Llangefni,GB,2021-06-14 03:00:46,53.2556,-4.3106,60.73,82,20,11.5
104,Lagoa,PT,2021-06-14 03:00:46,39.05,-27.9833,66.94,82,6,2.3
